employeenumber,age,gender,maritalstatus,education,department,jobrole,joblevel,monthlyincome,percentsalaryhike,jobsatisfaction,environmentsatisfaction,worklifebalance,tenure_years,yearsincurrentrole,yearssincelastpromotion,overtime,attrition_flag
387,42,Male,Married,1,Sales,Sales Executive,2,4907,25,3,2,3,20,16,11,No,0
388,29,Male,Single,2,Sales,Sales Executive,2,4554,18,4,2,2,10,7,0,No,0
389,55,Male,Married,2,Research & Development,Laboratory Technician,2,5415,19,4,2,3,10,7,0,Yes,0
390,26,Male,Married,2,Research & Development,Healthcare Representative,2,4741,13,1,1,3,5,3,3,Yes,0
391,37,Female,Single,3,Research & Development,Research Scientist,1,2115,12,4,4,3,17,12,5,No,0
392,44,Male,Divorced,3,Research & Development,Laboratory Technician,1,3161,22,3,4,1,1,0,0,Yes,1
393,38,Male,Divorced,4,Research & Development,Healthcare Representative,2,5745,14,4,4,3,2,2,1,No,0
394,26,Male,Divorced,4,Research & Development,Laboratory Technician,1,2373,13,2,1,3,3,2,0,Yes,1
395,28,Female,Single,2,Research & Development,Research Scientist,1,3310,21,4,4,3,5,3,0,No,0
396,49,Female,Single,4,Research & Development,Research Director,5,18665,11,1,3,3,3,2,1,Yes,0
397,36,Male,Single,3,Research & Development,Research Scientist,2,4485,12,2,3,3,8,0,7,No,0
399,31,Female,Divorced,3,Sales,Sales Representative,1,2789,11,2,4,2,2,2,2,No,0
401,26,Male,Single,4,Sales,Sales Executive,2,5828,12,4,4,3,8,7,7,Yes,1
403,37,Male,Married,3,Research & Development,Research Scientist,1,2326,12,4,2,2,4,2,1,Yes,0
404,42,Female,Married,3,Sales,Sales Executive,4,13525,14,2,3,4,20,4,4,No,0
405,18,Male,Single,3,Research & Development,Laboratory Technician,1,1420,13,3,3,3,0,0,0,No,1
406,35,Male,Married,3,Sales,Sales Executive,3,8020,15,2,3,2,11,9,6,No,0
407,36,Male,Married,4,Research & Development,Laboratory Technician,1,3688,18,4,3,3,1,0,0,No,0
408,51,Male,Divorced,3,Research & Development,Manufacturing Director,2,5482,18,2,4,3,4,1,1,No,0
410,41,Male,Single,4,Sales,Manager,4,16015,19,2,4,3,22,10,0,No,0
411,18,Female,Single,3,Sales,Sales Representative,1,1200,12,3,4,3,0,0,0,No,0
412,28,Male,Single,2,Research & Development,Healthcare Representative,2,5661,19,1,2,3,8,3,0,No,0
416,31,Male,Married,3,Sales,Sales Executive,2,6929,11,4,2,2,8,7,7,No,0
417,39,Male,Divorced,3,Research & Development,Healthcare Representative,3,9613,17,4,3,2,18,10,3,No,0
419,36,Female,Married,4,Research & Development,Laboratory Technician,2,5674,15,2,2,3,9,8,0,No,0
420,32,Male,Married,3,Sales,Sales Executive,2,5484,14,3,4,2,13,8,4,No,0
421,38,Female,Married,2,Research & Development,Research Director,3,12061,17,2,1,3,10,8,0,No,0
422,58,Male,Divorced,4,Research & Development,Healthcare Representative,2,5660,13,3,4,3,5,3,1,Yes,0
423,31,Male,Married,4,Research & Development,Research Scientist,1,4821,12,4,3,3,5,2,0,Yes,0
424,31,Male,Married,3,Human Resources,Human Resources,2,6410,12,1,1,3,2,2,1,No,0
425,45,Male,Divorced,3,Research & Development,Laboratory Technician,3,5210,18,1,1,3,24,9,9,No,0
426,31,Male,Divorced,4,Research & Development,Research Scientist,1,2695,18,4,3,1,2,2,2,Yes,0
428,33,Female,Married,4,Research & Development,Manager,3,11878,11,2,4,3,10,6,8,No,0
429,39,Male,Married,1,Research & Development,Manager,4,17068,14,1,3,3,21,9,11,Yes,0
430,43,Female,Single,4,Research & Development,Laboratory Technician,1,2455,19,4,3,3,8,7,1,No,0
431,49,Female,Single,2,Research & Development,Healthcare Representative,4,13964,12,3,3,3,7,1,0,Yes,0
433,52,Male,Married,4,Research & Development,Research Scientist,2,4941,15,2,3,2,8,2,7,No,1
434,27,Female,Single,3,Research & Development,Research Scientist,1,2478,12,2,3,2,4,3,1,Yes,0
436,32,Female,Married,2,Sales,Sales Executive,2,5228,11,2,3,3,13,12,11,Yes,0
437,27,Male,Single,3,Sales,Sales Executive,2,4478,11,3,4,3,5,4,0,Yes,0
438,31,Male,Divorced,3,Sales,Sales Executive,2,7547,12,4,4,3,7,7,1,No,0
439,32,Female,Single,4,Research & Development,Research Scientist,2,5055,16,4,1,2,7,7,0,No,0
440,28,Male,Married,4,Research & Development,Research Scientist,1,3464,13,4,1,2,3,2,2,Yes,1
441,30,Female,Married,2,Research & Development,Research Scientist,2,5775,13,4,4,3,10,8,1,No,0
442,31,Female,Married,2,Research & Development,Manufacturing Director,3,8943,24,3,3,3,10,9,8,No,0
444,39,Male,Married,2,Research & Development,Manager,5,19272,15,4,3,3,21,9,13,No,0
445,39,Female,Married,2,Sales,Sales Executive,2,5238,18,3,4,2,1,0,0,Yes,1
446,33,Male,Single,3,Sales,Sales Executive,2,4682,14,4,2,2,7,7,0,No,0
447,47,Male,Married,5,Research & Development,Research Director,5,18300,11,3,4,3,3,2,1,No,0
448,43,Female,Divorced,4,Research & Development,Laboratory Technician,2,5257,11,3,3,4,9,7,0,No,0
449,27,Male,Married,1,Sales,Sales Executive,2,6349,13,2,3,3,5,4,1,Yes,0
450,54,Female,Single,4,Research & Development,Research Scientist,2,4869,12,3,4,2,4,3,0,No,0
451,43,Female,Married,3,Research & Development,Healthcare Representative,3,9985,16,1,3,2,1,0,0,No,0
452,45,Male,Married,4,Research & Development,Research Scientist,2,3697,14,4,4,3,10,9,9,No,0
453,40,Male,Married,2,Sales,Sales Executive,2,7457,22,4,2,2,4,3,0,Yes,0
454,29,Male,Married,4,Research & Development,Laboratory Technician,1,2119,11,1,2,2,7,7,0,Yes,1
455,29,Male,Single,5,Research & Development,Laboratory Technician,1,3983,17,4,2,3,3,2,2,No,0
456,30,Female,Divorced,3,Sales,Sales Executive,2,6118,13,3,4,3,10,9,1,No,0
458,27,Female,Married,4,Sales,Sales Executive,2,6214,18,2,2,3,8,7,0,No,0
460,37,Male,Divorced,2,Research & Development,Manufacturing Director,2,6347,16,4,4,2,6,2,0,No,0
461,38,Male,Divorced,2,Research & Development,Research Director,3,11510,14,4,3,3,11,10,2,Yes,0
462,31,Female,Single,4,Research & Development,Manufacturing Director,3,7143,14,4,3,2,11,9,4,Yes,0
463,29,Female,Divorced,1,Sales,Sales Executive,2,8268,14,2,4,3,7,7,1,Yes,0
464,35,Male,Single,4,Research & Development,Manufacturing Director,3,8095,13,2,3,3,16,6,0,No,0
465,23,Male,Divorced,1,Research & Development,Research Scientist,1,2904,12,4,3,2,4,2,0,No,0
466,41,Male,Single,3,Research & Development,Manufacturing Director,2,6032,15,2,4,3,5,4,1,Yes,0
467,47,Male,Single,1,Sales,Sales Representative,2,2976,19,3,2,3,0,0,0,No,0
468,42,Female,Single,5,Research & Development,Research Director,4,15992,14,4,1,3,1,0,0,No,0
469,29,Male,Married,3,Sales,Sales Executive,2,4649,14,3,4,2,4,3,0,No,0
470,42,Male,Divorced,1,Human Resources,Human Resources,1,2696,11,3,3,3,3,2,1,Yes,0
471,32,Female,Married,3,Research & Development,Laboratory Technician,1,2370,13,2,3,3,8,0,0,No,0
473,48,Female,Married,1,Sales,Manager,3,12504,21,3,1,1,0,0,0,No,0
474,37,Male,Divorced,3,Research & Development,Research Scientist,2,5974,13,1,3,3,7,7,6,Yes,0
475,30,Female,Married,2,Sales,Sales Executive,2,4736,12,3,4,4,2,2,2,Yes,0
476,26,Male,Married,3,Sales,Sales Executive,2,5296,17,3,3,3,8,7,7,No,0
477,42,Male,Single,4,Research & Development,Healthcare Representative,2,6781,23,4,1,3,1,0,0,No,0
478,21,Female,Single,1,Sales,Sales Representative,1,2174,11,2,1,3,3,2,1,Yes,1
479,36,Female,Single,5,Sales,Sales Executive,2,6653,15,4,4,3,1,0,0,No,0
481,36,Male,Married,4,Sales,Sales Executive,3,9699,11,4,1,3,13,9,1,No,0
482,57,Male,Married,4,Research & Development,Healthcare Representative,2,6755,11,3,4,3,3,2,1,No,0
483,40,Female,Married,4,Research & Development,Laboratory Technician,1,2213,13,3,4,3,7,7,1,Yes,0
484,21,Male,Single,2,Sales,Sales Representative,1,2610,24,4,1,2,3,2,2,No,0
485,33,Female,Single,3,Sales,Sales Representative,1,2851,13,3,4,3,1,0,0,Yes,1
486,37,Female,Married,3,Research & Development,Laboratory Technician,1,3452,20,1,3,3,5,4,0,No,0
487,46,Female,Married,4,Research & Development,Manufacturing Director,2,5258,14,3,3,4,1,0,0,No,0
488,41,Male,Single,3,Sales,Sales Executive,2,9355,18,2,1,3,8,7,7,No,1
491,50,Male,Single,3,Research & Development,Healthcare Representative,3,10496,15,4,4,3,4,3,1,No,0
492,40,Male,Married,2,Sales,Sales Executive,2,6380,12,3,3,3,6,4,1,Yes,1
493,31,Male,Single,4,Research & Development,Research Scientist,1,2657,16,2,3,3,2,2,2,Yes,0
494,21,Female,Single,3,Sales,Sales Representative,1,2716,15,2,3,3,1,0,0,No,1
495,29,Male,Single,3,Research & Development,Research Scientist,1,2201,16,4,4,3,3,2,1,No,0
496,35,Male,Single,4,Research & Development,Healthcare Representative,2,6540,19,2,3,3,1,1,0,No,0
497,27,Male,Divorced,2,Research & Development,Laboratory Technician,1,3816,11,2,4,3,5,2,0,No,0
498,28,Male,Single,4,Sales,Sales Executive,2,5253,16,4,2,3,7,5,0,No,0
499,49,Male,Single,3,Research & Development,Healthcare Representative,3,10965,24,3,2,3,5,2,0,No,0
500,51,Female,Married,2,Sales,Sales Executive,2,4936,11,4,3,2,7,7,0,No,0
501,36,Female,Married,3,Research & Development,Research Scientist,1,2543,13,3,4,3,2,2,2,No,0
502,34,Male,Single,3,Sales,Sales Executive,2,5304,13,4,1,2,5,2,0,Yes,1
505,55,Female,Single,3,Research & Development,Manager,4,16659,13,4,3,3,5,4,1,Yes,0
507,24,Female,Divorced,4,Sales,Sales Executive,2,4260,12,3,4,4,5,2,0,Yes,0
508,30,Male,Married,1,Sales,Sales Representative,1,2476,18,2,3,3,1,0,0,No,0
510,26,Male,Single,1,Research & Development,Research Scientist,1,3102,22,1,3,3,6,4,0,No,1
511,22,Female,Married,3,Research & Development,Research Scientist,1,2244,13,2,1,3,2,1,1,No,0
513,36,Male,Married,2,Sales,Sales Executive,3,7596,13,3,2,3,10,9,9,No,0
514,30,Male,Single,3,Research & Development,Research Scientist,1,2285,23,4,3,3,1,0,0,Yes,1
515,37,Female,Divorced,3,Research & Development,Laboratory Technician,1,3034,12,1,4,2,18,7,12,No,0
516,40,Female,Divorced,2,Sales,Sales Executive,2,5715,12,2,4,3,5,4,1,No,0
517,42,Female,Divorced,4,Research & Development,Laboratory Technician,1,2576,16,1,2,3,5,2,1,No,0
518,37,Male,Single,4,Research & Development,Manufacturing Director,2,4197,12,2,3,2,1,0,0,Yes,0
520,43,Male,Divorced,3,Research & Development,Research Director,4,14336,11,2,1,3,25,10,3,No,0
521,40,Female,Married,3,Research & Development,Laboratory Technician,2,3448,22,3,2,3,1,0,0,No,0
522,54,Male,Married,2,Research & Development,Research Director,5,19406,11,1,1,2,4,2,1,No,0
523,34,Female,Married,4,Sales,Sales Executive,2,6538,15,3,3,3,3,2,1,No,0
524,31,Female,Married,2,Research & Development,Manufacturing Director,2,4306,12,1,2,1,13,10,3,No,0
525,43,Male,Married,3,Research & Development,Laboratory Technician,1,2258,20,4,4,3,3,2,1,No,0
526,43,Female,Divorced,4,Research & Development,Healthcare Representative,2,4522,14,3,3,3,5,2,0,Yes,0
527,25,Female,Single,2,Sales,Sales Executive,2,4487,11,4,2,3,5,4,1,Yes,0
529,37,Female,Married,5,Research & Development,Research Scientist,2,4449,15,3,2,3,13,11,10,Yes,0
530,31,Male,Married,2,Research & Development,Laboratory Technician,1,2218,12,1,4,3,4,2,3,No,0
531,39,Male,Divorced,1,Research & Development,Manager,5,19197,14,3,2,3,21,8,1,Yes,0
532,56,Female,Married,3,Sales,Sales Executive,4,13212,11,1,3,2,7,7,7,No,0
533,30,Female,Single,3,Sales,Sales Executive,2,6577,11,3,2,3,5,4,4,No,0
534,41,Male,Married,3,Sales,Sales Executive,3,8392,16,1,2,3,10,7,0,No,0
536,28,Male,Divorced,2,Research & Development,Laboratory Technician,2,4558,12,1,3,3,10,0,1,No,0
538,25,Male,Married,3,Research & Development,Laboratory Technician,1,4031,13,1,1,3,2,2,0,No,1
543,52,Male,Married,3,Research & Development,Manufacturing Director,3,7969,14,3,4,3,5,4,0,Yes,0
544,45,Male,Married,2,Research & Development,Research Scientist,1,2654,21,4,1,2,2,2,0,No,0
546,52,Female,Married,2,Research & Development,Manager,4,16555,13,4,4,1,5,2,1,No,0
547,42,Female,Divorced,2,Research & Development,Research Scientist,2,4556,11,3,1,3,5,4,0,No,0
548,30,Female,Single,3,Research & Development,Manufacturing Director,2,6091,20,4,3,3,5,4,0,No,0
549,60,Female,Married,3,Research & Development,Manager,5,19566,11,1,1,1,29,8,11,No,0
550,46,Female,Divorced,3,Research & Development,Manufacturing Director,2,4810,14,3,3,2,10,7,0,No,0
551,42,Female,Married,4,Research & Development,Healthcare Representative,2,4523,11,4,4,4,6,5,0,No,0
554,24,Female,Single,1,Sales,Sales Representative,1,3202,16,2,1,3,5,3,1,Yes,1
555,34,Female,Divorced,2,Sales,Sales Representative,1,2351,16,3,4,2,2,2,1,No,1
556,38,Male,Married,2,Research & Development,Laboratory Technician,1,1702,23,4,4,3,1,0,0,Yes,0
558,40,Female,Married,4,Sales,Manager,5,18041,14,3,3,3,20,15,1,No,0
560,26,Female,Divorced,3,Research & Development,Research Scientist,1,2886,22,4,1,1,3,2,0,No,0
562,30,Male,Married,3,Research & Development,Laboratory Technician,1,2097,15,4,3,1,5,3,1,No,0
564,29,Male,Married,4,Research & Development,Research Director,3,11935,18,3,2,3,10,2,0,No,0
565,29,Female,Married,5,Research & Development,Research Scientist,1,2546,16,2,3,4,2,2,1,No,1
566,19,Male,Single,2,Human Resources,Human Resources,1,2564,12,4,1,4,1,0,0,No,1
567,30,Female,Married,4,Sales,Sales Executive,3,8412,11,1,3,3,9,8,7,No,0
568,57,Male,Divorced,3,Sales,Manager,4,14118,12,4,1,2,1,0,0,No,0
569,50,Male,Married,4,Research & Development,Manager,4,17046,15,3,2,3,27,10,15,No,0
571,30,Female,Single,3,Research & Development,Laboratory Technician,1,2564,14,4,3,2,11,7,6,No,0
573,60,Female,Married,3,Sales,Sales Executive,3,10266,19,1,3,4,18,13,13,No,0
574,47,Female,Divorced,2,Research & Development,Manufacturing Director,2,5070,13,4,1,3,5,0,0,No,0
575,46,Male,Married,3,Research & Development,Research Director,4,17861,13,3,1,1,3,2,0,No,0
577,35,Male,Single,3,Research & Development,Laboratory Technician,1,4230,15,3,4,3,5,4,4,No,0
578,54,Female,Single,4,Research & Development,Laboratory Technician,2,3780,11,3,3,3,1,0,0,No,0
579,34,Male,Divorced,4,Research & Development,Research Scientist,1,2768,12,3,4,3,7,3,5,No,0
580,46,Female,Married,3,Sales,Sales Executive,3,9071,19,4,3,3,3,2,1,Yes,0
581,31,Male,Divorced,1,Research & Development,Manufacturing Director,3,10648,25,2,3,4,13,8,0,No,0
582,33,Male,Married,1,Research & Development,Manager,3,13610,12,3,2,4,7,6,7,Yes,1
584,33,Male,Divorced,1,Research & Development,Laboratory Technician,1,3408,13,4,1,3,4,3,1,No,1
585,30,Male,Single,1,Sales,Sales Representative,1,2983,14,2,4,3,3,2,1,No,0
586,35,Male,Married,3,Research & Development,Healthcare Representative,3,7632,12,3,4,3,8,7,0,Yes,0
587,31,Male,Married,3,Research & Development,Healthcare Representative,3,9824,12,3,1,3,1,0,0,No,1
590,34,Female,Divorced,3,Human Resources,Human Resources,3,9950,15,1,2,3,3,2,0,Yes,1
591,42,Male,Married,2,Research & Development,Laboratory Technician,1,2093,17,3,2,3,2,2,2,No,0
592,36,Male,Single,4,Sales,Sales Executive,3,9980,14,4,2,2,10,3,9,No,0
593,22,Male,Single,1,Research & Development,Laboratory Technician,1,3894,16,3,3,3,2,2,1,No,1
595,48,Female,Married,5,Sales,Sales Executive,2,4051,14,4,2,3,9,7,6,No,0
597,55,Female,Single,5,Sales,Manager,4,16835,23,2,1,3,10,9,7,No,0
599,41,Male,Single,2,Sales,Sales Executive,2,6230,14,4,4,3,14,3,1,No,0
600,35,Male,Married,3,Sales,Sales Executive,2,4717,11,3,2,3,11,9,6,No,0
601,40,Female,Single,3,Research & Development,Manufacturing Director,4,13237,15,3,2,3,20,6,5,No,0
602,39,Female,Married,1,Research & Development,Laboratory Technician,1,3755,11,3,3,3,8,3,0,No,0
604,31,Male,Single,1,Sales,Sales Executive,2,6582,13,4,2,4,6,5,0,Yes,0
605,42,Male,Married,3,Research & Development,Manufacturing Director,3,7406,21,1,4,2,10,9,5,Yes,0
606,45,Male,Married,3,Sales,Sales Executive,2,4805,19,2,4,4,8,7,3,No,0
608,26,Female,Divorced,4,Human Resources,Human Resources,1,2741,11,3,2,2,7,7,1,Yes,1
611,29,Male,Divorced,3,Research & Development,Manufacturing Director,2,4262,12,4,4,4,3,2,1,No,0
612,33,Female,Divorced,5,Research & Development,Research Director,4,16184,19,3,1,3,6,1,0,No,0
613,31,Male,Divorced,3,Sales,Manager,3,11557,21,4,3,2,5,4,0,No,0
614,18,Male,Single,3,Sales,Sales Representative,1,1878,14,2,2,3,0,0,0,Yes,1
615,40,Male,Divorced,3,Sales,Sales Executive,3,10932,15,1,3,3,1,0,0,No,0
616,41,Female,Single,4,Research & Development,Healthcare Representative,2,6811,17,3,1,3,8,7,0,Yes,0
618,26,Male,Divorced,2,Sales,Sales Executive,2,4306,12,3,1,3,0,0,0,No,0
620,35,Female,Single,3,Sales,Sales Executive,2,4859,16,3,1,3,5,4,0,No,0
621,34,Male,Single,4,Sales,Sales Executive,2,5337,12,4,4,3,10,7,5,No,0
622,26,Male,Single,3,Research & Development,Laboratory Technician,1,2340,18,4,3,1,1,0,0,Yes,1
623,37,Female,Single,3,Research & Development,Manufacturing Director,3,7491,17,4,2,4,6,5,1,No,0
624,46,Female,Married,1,Research & Development,Healthcare Representative,3,10527,11,3,1,2,2,2,1,No,0
625,41,Female,Married,5,Sales,Manager,4,16595,16,1,2,3,18,16,11,No,0
626,37,Male,Divorced,4,Sales,Sales Executive,3,8834,13,2,1,3,9,5,7,No,0
630,52,Male,Divorced,2,Research & Development,Research Scientist,2,5577,12,1,4,3,10,9,6,Yes,0
631,32,Male,Married,4,Sales,Sales Executive,2,4707,12,3,4,3,4,2,1,No,1
632,24,Male,Married,3,Sales,Sales Representative,1,2400,13,4,4,3,2,2,2,No,0
634,38,Female,Married,3,Research & Development,Healthcare Representative,2,9824,19,3,3,3,1,0,0,No,0
635,37,Female,Married,4,Research & Development,Manufacturing Director,2,6447,12,2,2,2,6,5,4,No,0
638,49,Male,Divorced,4,Research & Development,Research Director,5,19502,17,3,4,3,31,9,0,Yes,0
639,24,Male,Married,3,Research & Development,Research Scientist,1,2725,11,4,2,3,6,5,1,Yes,0
641,26,Male,Married,2,Sales,Sales Executive,2,6272,20,2,1,4,5,3,1,No,0
643,24,Male,Married,2,Research & Development,Laboratory Technician,1,2127,21,2,4,3,1,0,0,No,0
644,50,Male,Married,3,Human Resources,Manager,5,18200,11,2,1,3,32,5,10,No,0
645,25,Male,Married,1,Sales,Sales Representative,1,2096,11,3,2,3,7,4,0,No,0
647,24,Female,Married,3,Research & Development,Laboratory Technician,1,2886,16,3,1,3,6,3,1,Yes,1
648,30,Male,Married,4,Sales,Sales Representative,1,2033,18,1,2,4,1,0,0,No,1
649,34,Male,Married,2,Research & Development,Research Scientist,1,3622,13,4,2,3,6,5,1,Yes,0
650,31,Male,Divorced,4,Sales,Sales Executive,2,4233,17,1,2,1,3,1,1,No,1
652,35,Male,Single,2,Research & Development,Laboratory Technician,2,3681,14,4,1,3,3,2,0,No,0
653,31,Male,Divorced,4,Sales,Sales Executive,2,5460,22,4,1,4,7,7,5,No,0
655,27,Female,Divorced,4,Research & Development,Research Scientist,1,2187,12,3,1,2,5,3,0,No,0
656,37,Male,Married,3,Sales,Sales Executive,2,9602,11,3,4,2,3,0,1,Yes,0
657,20,Female,Single,3,Research & Development,Research Scientist,1,2836,13,2,4,4,1,0,0,No,0
659,42,Female,Married,4,Research & Development,Healthcare Representative,2,4089,13,4,3,3,10,2,2,No,0
661,43,Male,Divorced,4,Research & Development,Research Director,4,16627,14,4,2,2,1,0,0,Yes,0
662,38,Female,Single,1,Research & Development,Research Scientist,1,2619,17,1,3,2,0,0,0,No,0
663,43,Male,Divorced,5,Research & Development,Laboratory Technician,2,5679,13,3,4,3,8,7,4,Yes,0
664,48,Female,Married,4,Research & Development,Manager,4,15402,11,1,4,1,3,2,0,No,0
665,44,Female,Single,4,Human Resources,Human Resources,2,5985,11,3,1,4,2,2,0,No,0
666,34,Female,Divorced,3,Sales,Sales Representative,1,2579,18,3,3,3,8,2,0,Yes,0
667,27,Male,Divorced,1,Sales,Sales Representative,1,3041,11,1,3,3,4,3,0,No,1
669,21,Male,Single,1,Sales,Sales Representative,1,3447,11,3,3,3,3,2,1,No,0
671,44,Male,Married,4,Research & Development,Manager,5,19513,12,4,4,4,2,2,0,Yes,0
675,22,Male,Married,1,Research & Development,Research Scientist,1,2773,20,3,1,3,2,2,2,No,0
677,33,Male,Divorced,4,Sales,Sales Executive,2,7104,12,3,3,3,5,0,1,No,0
679,32,Female,Married,4,Research & Development,Research Scientist,2,6322,12,4,1,2,6,4,0,Yes,0
680,30,Female,Divorced,3,Research & Development,Research Scientist,1,2083,20,3,3,3,1,0,0,No,0
682,53,Female,Single,1,Sales,Sales Executive,2,8381,20,1,4,4,14,7,8,No,0
683,34,Male,Married,5,Research & Development,Research Scientist,1,2691,12,4,2,2,10,9,8,No,0
684,45,Female,Married,4,Sales,Sales Executive,2,4286,14,1,1,3,1,1,0,No,1
686,26,Female,Married,3,Research & Development,Laboratory Technician,1,2659,13,4,3,3,3,2,0,Yes,0
689,37,Male,Married,3,Research & Development,Manufacturing Director,3,9434,15,3,3,3,10,7,7,No,0
690,29,Female,Married,2,Sales,Sales Executive,2,5561,14,3,2,2,6,0,1,No,0
691,35,Male,Single,4,Research & Development,Research Scientist,2,6646,13,4,2,3,17,11,11,No,0
692,33,Male,Divorced,3,Research & Development,Healthcare Representative,2,7725,23,4,3,1,13,11,4,No,0
698,54,Male,Married,4,Human Resources,Human Resources,3,10725,15,2,3,4,9,7,7,No,0
699,36,Male,Divorced,2,Research & Development,Manufacturing Director,2,8847,11,2,2,3,3,2,0,Yes,0
700,27,Male,Single,4,Research & Development,Research Scientist,1,2045,13,4,1,3,4,2,1,No,0
701,20,Male,Single,1,Research & Development,Research Scientist,1,1009,11,3,4,3,1,0,1,Yes,1
702,33,Male,Single,3,Research & Development,Research Scientist,1,3348,11,1,1,3,10,8,9,Yes,1
704,35,Male,Married,3,Research & Development,Laboratory Technician,1,1281,18,3,3,3,1,0,0,No,0
705,23,Male,Married,3,Research & Development,Research Scientist,1,2819,16,1,1,4,3,2,0,No,0
707,25,Male,Married,3,Sales,Sales Executive,2,4851,22,2,4,3,3,2,1,No,0
709,38,Female,Single,4,Sales,Sales Executive,2,4028,20,4,4,3,7,7,0,No,0
710,29,Male,Divorced,4,Research & Development,Research Scientist,1,2720,18,4,2,3,10,7,2,No,0
712,48,Male,Married,1,Sales,Sales Executive,2,8120,12,2,2,3,2,2,2,No,0
714,27,Female,Divorced,1,Sales,Sales Executive,2,4647,20,4,4,3,6,5,0,Yes,0
715,37,Male,Single,2,Research & Development,Research Scientist,1,4680,17,4,4,3,1,0,0,No,0
716,50,Male,Married,1,Research & Development,Laboratory Technician,1,3221,11,3,4,3,20,8,3,Yes,0
717,34,Female,Single,3,Research & Development,Healthcare Representative,3,8621,14,2,4,4,8,7,7,No,0
720,24,Female,Single,2,Sales,Sales Executive,2,4577,14,3,1,3,2,2,2,No,1
721,39,Female,Single,4,Research & Development,Healthcare Representative,2,4553,11,3,4,3,20,7,11,No,0
722,32,Male,Single,3,Sales,Sales Executive,2,5396,12,4,4,2,10,7,0,No,0
723,50,Male,Married,2,Sales,Sales Executive,2,6796,14,3,2,3,4,3,1,Yes,1
724,38,Female,Single,4,Research & Development,Healthcare Representative,2,7625,13,4,2,2,9,7,1,No,0
725,27,Female,Married,2,Research & Development,Manufacturing Director,3,7412,11,1,3,3,9,7,0,No,0
727,32,Female,Single,2,Research & Development,Research Director,3,11159,15,4,3,3,7,7,7,No,0
728,47,Male,Single,4,Sales,Sales Executive,2,4960,12,1,4,3,7,7,1,No,0
729,40,Male,Married,4,Sales,Sales Executive,3,10475,21,1,4,3,18,13,1,Yes,0
730,53,Male,Married,3,Research & Development,Research Director,4,14814,19,3,3,3,5,1,1,No,0
731,41,Male,Divorced,4,Human Resources,Manager,5,19141,15,4,2,2,21,6,12,No,0
732,60,Male,Single,4,Sales,Sales Executive,2,5405,14,1,1,3,2,2,2,No,0
733,27,Male,Divorced,2,Research & Development,Manufacturing Director,3,8793,21,1,4,2,9,7,1,No,0
734,41,Male,Married,3,Human Resources,Manager,5,19189,12,3,4,3,22,7,2,No,0
738,50,Male,Married,4,Sales,Sales Representative,1,3875,15,2,4,3,2,2,2,No,0
741,28,Female,Single,2,Research & Development,Research Scientist,1,2216,13,2,1,3,7,7,3,Yes,1
742,36,Female,Married,3,Research & Development,Research Director,3,11713,14,1,1,3,8,7,0,No,0
743,38,Female,Single,3,Research & Development,Manufacturing Director,3,7861,14,3,3,4,1,0,0,Yes,0
744,44,Male,Single,3,Research & Development,Laboratory Technician,1,3708,14,3,1,3,5,2,1,No,0
746,47,Female,Divorced,3,Sales,Sales Executive,4,13770,12,3,4,2,22,2,11,Yes,0
747,30,Male,Divorced,5,Sales,Sales Executive,2,5304,23,4,3,2,8,7,7,No,0
749,29,Male,Single,3,Sales,Sales Representative,1,2642,11,3,3,3,1,0,0,No,0
752,42,Male,Divorced,3,Research & Development,Research Scientist,1,2759,12,3,3,3,2,2,2,Yes,1
754,43,Male,Married,3,Sales,Sales Executive,2,6804,18,4,4,3,2,2,2,No,0
757,34,Female,Single,2,Research & Development,Healthcare Representative,2,6142,11,3,2,3,5,1,4,No,0
758,23,Male,Married,1,Research & Development,Laboratory Technician,1,2500,14,1,2,4,4,3,0,No,0
760,39,Female,Married,3,Human Resources,Human Resources,2,6389,15,2,3,1,8,3,3,No,0
762,56,Male,Married,3,Research & Development,Healthcare Representative,4,11103,11,4,3,2,10,7,1,No,0
763,40,Female,Single,1,Research & Development,Research Scientist,1,2342,20,4,4,2,4,2,2,Yes,0
764,27,Female,Single,3,Research & Development,Healthcare Representative,2,6811,19,1,4,1,7,6,0,No,0
766,29,Male,Divorced,3,Sales,Sales Representative,1,2297,14,2,4,3,2,2,2,No,0
769,53,Male,Single,3,Research & Development,Laboratory Technician,2,2450,17,4,4,3,2,2,2,No,0
771,35,Female,Divorced,4,Research & Development,Healthcare Representative,2,5093,11,1,4,4,1,0,0,No,0
772,32,Male,Married,4,Research & Development,Laboratory Technician,2,5309,15,4,1,3,10,8,4,No,0
773,38,Male,Married,5,Research & Development,Research Scientist,1,3057,13,3,4,1,1,0,0,Yes,0
775,34,Female,Divorced,5,Research & Development,Manufacturing Director,2,5121,14,1,2,3,0,0,0,No,0
776,52,Male,Married,4,Sales,Manager,4,16856,11,1,3,4,34,6,1,No,0
780,33,Male,Single,4,Research & Development,Research Scientist,1,2686,13,4,4,2,10,9,7,Yes,1
781,25,Female,Single,1,Sales,Sales Executive,2,6180,23,4,3,2,6,5,1,No,0
783,45,Male,Single,2,Sales,Sales Representative,2,6632,13,3,2,3,8,7,3,No,0
784,23,Male,Single,1,Research & Development,Research Scientist,1,3505,18,3,1,3,2,2,0,No,0
